ecosystem,packageName,name,displayName,description,recipeCount,category1,options,dataTables
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.AssertEqualsToAssertThat,JUnit `assertEquals()` to Assertj `assertThat()`,Use AssertJ assertThat instead of JUnit assertEquals().,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.ClassHierarchy,Class hierarchy,Produces a data table showing inheritance relationships between classes.,1,Yourorg,,"[{""name"":""com.yourorg.table.ClassHierarchyReport"",""displayName"":""Class hierarchy report"",""description"":""Records inheritance relationships between classes."",""columns"":[{""name"":""className"",""type"":""String"",""displayName"":""Class name"",""description"":""Fully qualified name of the class.""},{""name"":""relationship"",""type"":""Relationship"",""displayName"":""Relationship"",""description"":""Whether the class implements a super interface or extends a superclass.""},{""name"":""superClassName"",""type"":""String"",""displayName"":""Super class name"",""description"":""Fully qualified name of the superclass.""}]}]"
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.EqualsAvoidsNullRecipe,EqualsAvoidNull,Checks that any combination of String literals is on the left side of an equals() comparison.,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.FindSpringBeans,Find Spring beans,Find all Spring bean names used in your application.,1,Yourorg,,"[{""name"":""com.yourorg.table.SpringBeansReport"",""displayName"":""Spring bean definitions"",""description"":""Classes defined with a form of a Spring `@Bean` stereotype"",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source path"",""description"":""The path to the source file containing the component definition.""},{""name"":""name"",""type"":""String"",""displayName"":""Component name"",""description"":""The name of the component.""}]}]"
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.NoCollectionMutation,Prevent LST collection mutation,"LST elements should always be treated as immutable, even for fields that are not protected from mutation at runtime. Adding or removing an element from a collection on an LST element is always a bug. This recipe uses Dataflow analysis to detect and put defensive copies around collection mutations.",1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.NoGuavaListsNewArrayList,Use `new ArrayList<>()` instead of Guava,Prefer the Java standard library over third-party usage of Guava in simple cases like this.,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.SimplifyTernaryRecipes,Simplify ternary expressions,Simplifies various types of ternary expressions to improve code readability.,5,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.SimplifyTernaryRecipes$SimplifyTernaryFalseTrueRecipe,Replace `booleanExpression ? false : true` with `!booleanExpression`,Replace ternary expressions like `booleanExpression ? false : true` with `!booleanExpression`.,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.SimplifyTernaryRecipes$SimplifyTernaryTrueFalseRecipe,Replace `booleanExpression ? true : false` with `booleanExpression`,Replace ternary expressions like `booleanExpression ? true : false` with `booleanExpression`.,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.TrackJavaTodos,Export TODOs from Java comments,Export TODOs from Java source comments into a data table.,1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.UpdateConcoursePipeline,Update concourse pipeline,Update the tag filter on concourse pipelines.,1,Yourorg,"[{""name"":""version"",""type"":""String"",""displayName"":""New tag filter version"",""description"":""tag filter version."",""example"":""8.2.0"",""required"":true}]",
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.UseIntegerValueOf,Use Integer.valueOf(x) or Integer.parseInt(x) instead of new Integer(x),"Replaces unnecessary boxing constructor calls with the more efficient Integer.valueOf(x) for int values, or Integer.parseInt(x) for String values.",1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.AppendToReleaseNotes,Append to release notes,Adds the specified line to RELEASE.md.,1,Yourorg,"[{""name"":""message"",""type"":""String"",""displayName"":""Message"",""description"":""Message to append to the bottom of RELEASE.md."",""example"":""## 1.0.0\n\n- New feature"",""required"":true}]",
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.BootstrapIntoApplication,Merge Spring bootstrap.yml into application.yml,Merge all contents of any bootstrap.yml file into its corresponding application.yml. Will create an application.yml if none already exists. If an applicaiton.yml already exists and its values conflict with those in bootstrap.yml the values in bootstrap.yml are given priority.,1,Yourorg,"[{""name"":""deleteBootstrap"",""type"":""boolean"",""displayName"":""Delete bootstrap"",""description"":""When set to true delete the bootstrap.yml after migrating all its properties to application.yml. Default false."",""example"":""true"",""value"":false}]",
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.TrackJavaTodosFile,Track TODOs from Java comments,Scans Java source comments for TODOs and collects them in a file.,1,Yourorg,"[{""name"":""header"",""type"":""String"",""displayName"":""Header"",""description"":""Header for TODO.md. Defaults to `## To Do List` if not provided."",""example"":""## To Do List""}]",
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.TrackTodos,"Track TODOs from Java, YAML, or XML comments","Scans Java, YAML, and XML source comments for TODOs and collects them.",1,Yourorg,"[{""name"":""header"",""type"":""String"",""displayName"":""Header"",""description"":""Header for TODO.md. Defaults to `## To Do List` if not provided."",""example"":""## To Do List""}]","[{""name"":""com.yourorg.table.TodoCommentsReport"",""displayName"":""Todo comments report"",""description"":""Records Todo comments and the type of element they are attached to."",""columns"":[{""name"":""sourcePath"",""type"":""String"",""displayName"":""Source path"",""description"":""The path to the source file containing the comment.""},{""name"":""commentText"",""type"":""String"",""displayName"":""Comment text"",""description"":""The text of the comment.""},{""name"":""elementType"",""type"":""String"",""displayName"":""Element type"",""description"":""The class and element type that the comment is attached to.""}]}]"
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.UseSdkManJavaVersion,Use SDKMan Java version,"Examines a multi-project build, determines the Java version in use via available markers, and sets up or updates a .sdkmanrc file in the project root.",1,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.UseOpenRewriteNullable,Prefer OpenRewrite Nullable,Replaces JetBrains Nullable with OpenRewrite Nullable.,3,Yourorg,,
maven,com.yourorg:rewrite-recipe-starter,com.yourorg.UseApacheStringUtils,Use Apache `StringUtils`,Replace Spring string utilities with Apache string utilities.,5,Yourorg,,
